Month,Revenue,Expenses,Debt Service,Property Tax,Net Cash Flow,Cumulative Cash
Jul 2025,180000,125000,0,0,55000,15640
Aug 2025,195000,130000,0,0,65000,80640
Sep 2025,224201,124697,0,0,99504,180144
Oct 2025,210000,135000,0,0,75000,255144
Nov 2025,240022,144496,311626,121213,-337313,-82169
Dec 2025,265000,148000,0,0,117000,34831
Jan 2026,220000,140000,0,0,80000,114831
Feb 2026,200000,135000,0,0,65000,179831
Mar 2026,190000,130000,0,0,60000,239831
Apr 2026,175000,128000,311892,0,-264892,-25061
May 2026,160000,138000,0,0,22000,-3061
Jun 2026,148000,142000,19026,0,-13026,-16087
